City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rio grande,-32.035,-52.0986,298.12,89,68,1.9,BR,1708679562
1,bredasdorp,-34.5322,20.0403,289.77,82,10,2.82,ZA,1708748534
2,jalalaqsi,3.3766,45.5996,297.63,66,26,7.5,SO,1708744203
3,la passe,45.5549,-0.8967,278.28,77,71,5.44,FR,1708757532
4,alice springs,-23.7,133.8833,307.71,22,0,5.14,AU,1708721815
5,adamstown,-25.066,-130.1015,299.6,73,20,3.26,PN,1708698691
6,kill devil hills,36.0307,-75.676,284.15,96,40,2.57,US,1708688487
7,qarah zia' od din,38.8915,45.0255,273.63,86,100,1.5,IR,1708746047
8,hamilton,39.1834,-84.5333,282.12,65,20,4.63,US,1708690813
9,remire-montjoly,4.9167,-52.2667,300.17,83,75,3.09,GF,1708681365
10,invercargill,-46.4,168.35,289.27,90,100,6.26,NZ,1708711992
11,mount pearl,47.5166,-52.7813,272.84,97,100,4.63,CA,1708683838
12,stephenville,32.2207,-98.2023,289.69,39,0,2.06,US,1708693665
13,ushuaia,-54.8,-68.3,278.96,75,40,5.14,AR,1708681383
14,susuman,62.7833,148.1667,247.75,92,98,1.24,RU,1708723906
15,blackmans bay,-43.0167,147.3167,295.11,47,1,0.89,AU,1708717346
16,grytviken,-54.2811,-36.5092,277.16,80,4,6.59,GS,1708673814
17,talara,-4.5772,-81.2719,300.57,74,0,4.63,PE,1708687925
18,waitangi,-43.9535,-176.5597,292.49,94,93,8.29,NZ,1708795069
19,ancud,-41.8697,-73.8203,284.66,73,100,1.88,CL,1708684084
20,bouca,6.5105,18.2733,299.63,28,100,3.45,CF,1708750889
21,puerto ayora,-0.7393,-90.3518,300.12,93,73,0.89,EC,1708690266
22,yellowknife,62.456,-114.3525,261.44,95,100,8.75,CA,1708700499
23,urzhum,57.1141,49.9996,257.3,93,15,3.18,RU,1708746512
24,iskateley,67.6803,53.1512,272.05,94,100,7.6,RU,1708747794
25,bethel,41.3712,-73.414,279.08,82,0,2.06,US,1708688298
26,hermanus,-34.4187,19.2345,290.73,82,10,4.56,ZA,1708748734
27,west island,-12.1568,96.8225,302.14,74,48,5.66,CC,1708731257
28,iqaluit,63.7506,-68.5145,242.0,69,40,3.09,CA,1708689782
29,hulan ergi,47.2042,123.6333,265.04,58,99,1.6,CN,1708727817
30,tolanaro,-25.0319,46.9987,298.19,88,20,5.14,MG,1708742606
31,suva,-18.1416,178.4415,298.86,100,75,2.57,FJ,1708711391
32,lautoka,-17.6167,177.4667,304.07,70,75,5.66,FJ,1708711650
33,qorovulbozor,39.5006,64.7936,271.99,82,100,4.11,UZ,1708741347
34,kodiak,57.79,-152.4072,274.88,80,100,1.54,US,1708708850
35,minas de marcona,-15.2119,-75.1103,293.37,76,94,3.98,PE,1708685976
36,sao joao da barra,-21.6403,-41.0511,298.37,92,45,8.08,BR,1708677488
37,benghazi,32.1167,20.0667,289.7,62,4,2.29,LY,1708751630
38,jamestown,42.097,-79.2353,275.66,87,100,3.13,US,1708689746
39,port alfred,-33.5906,26.891,295.47,95,70,2.24,ZA,1708746948
40,balkanabat,39.5108,54.3671,278.59,65,100,1.69,TM,1708743848
41,lebu,-37.6167,-73.65,286.0,82,2,8.03,CL,1708684367
42,sirjan,29.452,55.6814,280.12,26,10,1.9,IR,1708742947
43,talnakh,69.4865,88.3972,251.04,97,100,3.77,RU,1708739921
44,isna,25.2934,32.554,292.16,44,100,1.39,EG,1708748285
45,anadyr,64.75,177.4833,250.43,76,75,3.0,RU,1708717295
46,port elizabeth,-33.918,25.5701,294.99,84,0,9.77,ZA,1708747245
47,sinop,41.7711,34.8709,278.68,58,3,3.56,TR,1708748676
48,hithadhoo,-0.6,73.0833,301.22,79,33,3.74,MV,1708737444
49,askiz,53.1319,90.5264,247.97,97,100,0.65,RU,1708736322
50,qaqortoq,60.7167,-46.0333,260.44,71,53,2.87,GL,1708683824
51,inhambane,-23.865,35.3833,297.2,79,18,2.38,MZ,1708745455
52,saipan,15.1355,145.701,301.54,74,100,10.29,MP,1708720679
53,laguna paiva,-31.3039,-60.6589,295.92,93,0,1.34,AR,1708681663
54,douglas,41.3,-96.167,280.14,61,0,5.14,US,1708693748
55,petropavlovsk-kamchatsky,53.0452,158.6483,261.48,71,0,4.92,RU,1708719988
56,kabare,-2.4683,28.8242,290.02,91,100,0.59,CD,1708747988
57,truckee,39.328,-120.1833,281.33,68,100,2.57,US,1708699371
58,saint-philippe,-21.3585,55.7679,296.92,85,40,6.54,RE,1708740686
59,pathalgaon,22.5667,83.4667,290.53,41,2,2.29,IN,1708735943
60,portoferraio,42.8115,10.3146,286.53,66,1,6.82,IT,1708754637
61,thompson,55.7435,-97.8558,259.24,51,100,4.12,CA,1708695507
62,booue,-0.0921,11.9385,296.92,98,100,1.28,GA,1708752138
63,zouerate,22.7187,-12.4521,290.61,60,1,5.92,MR,1708758958
64,hadibu,12.65,54.0333,297.09,70,34,4.06,YE,1708742564
65,kargasok,59.0556,80.8572,251.46,97,94,2.68,RU,1708739394
66,gornopravdinsk,60.05,69.9,263.5,95,100,3.78,RU,1708742172
67,vorgashor,67.5833,63.95,266.74,95,100,5.84,RU,1708745182
68,sitka,57.0531,-135.33,276.09,87,100,2.06,US,1708704657
69,albany,42.6001,-73.9662,275.57,91,97,1.93,US,1708688520
70,margaret river,-33.95,115.0667,293.19,70,100,8.59,AU,1708725750
71,qeshm,26.9581,56.2719,290.09,70,5,0.66,IR,1708742678
72,whitehorse,60.7161,-135.0538,270.58,54,75,5.66,CA,1708705145
73,choix,26.7092,-108.3219,296.59,18,99,0.85,MX,1708695797
74,mount isa,-20.7333,139.5,304.02,58,75,5.14,AU,1708720615
75,revelstoke,50.9832,-118.2023,275.16,100,100,1.54,CA,1708699845
76,laguna,38.421,-121.4238,291.14,52,0,3.09,US,1708699608
77,hawaiian paradise park,19.5933,-154.9731,298.88,73,40,7.72,US,1708706645
78,roma,43.2128,-75.4557,276.94,91,20,1.54,US,1708688923
79,papatowai,-46.5619,169.4708,290.37,86,100,1.55,NZ,1708711707
80,nantucket,41.2835,-70.0995,278.23,99,100,5.44,US,1708687497
81,edinburgh of the seven seas,-37.0676,-12.3116,288.57,67,12,3.92,SH,1708756136
82,tiksi,71.6872,128.8694,250.61,96,100,2.31,RU,1708731091
83,temara,33.9287,-6.9066,285.2,100,75,3.09,MA,1708758200
84,happy valley-goose bay,53.3168,-60.3315,273.32,74,100,2.57,CA,1708686225
85,afaahiti,-17.75,-149.2833,301.08,72,100,0.87,PF,1708703662
86,palamos,41.8484,3.1291,279.42,84,59,0.45,ES,1708756291
87,byron bay,-28.65,153.6167,299.66,76,100,1.9,AU,1708716810
88,vilyuchinsk,52.9306,158.4028,262.3,57,3,3.11,RU,1708720035
89,udachny,66.4167,112.4,249.09,73,100,1.01,RU,1708733274
90,bambanglipuro,-7.95,110.2833,302.49,69,99,1.16,ID,1708728209
91,stanley,54.868,-1.6985,273.02,95,0,1.03,GB,1708758618
92,ponta delgada,37.7333,-25.6667,287.55,77,75,4.12,PT,1708762924
93,kaman,27.65,77.2667,284.79,25,95,1.39,IN,1708737677
94,lihue,21.9789,-159.3672,298.73,69,75,6.17,US,1708707810
95,escarcega,18.6089,-90.7454,293.0,71,0,2.0,MX,1708691193
96,ust-nera,64.5667,143.2,245.61,97,95,1.43,RU,1708725462
97,petrovsk-zabaykal'skiy,51.273,108.843,253.57,90,100,1.39,RU,1708731738
98,kasongo-lunda,-6.4667,16.8167,295.6,97,100,0.44,CD,1708750704
99,ilulissat,69.2167,-51.1,260.16,43,40,5.14,GL,1708773205
100,jayapura,-2.5333,140.7,299.81,71,95,3.3,ID,1708721137
101,sangueya,10.7,-14.3667,294.84,87,28,0.29,GN,1708758893
102,shimoda,34.6667,138.95,281.35,67,61,7.15,JP,1708723265
103,port mathurin,-19.6833,63.4167,300.42,83,45,5.32,MU,1708738931
104,wladyslawowo,54.7909,18.4009,279.23,84,100,3.75,PL,1708753793
